title,hotmajor,school_url,Timerank,QSrank,IELTS_grade
卡迪夫大学,土木工程 一般工程 机械工程 商科 凯尔特研究 通信及传媒研究,https://www.51offer.com/school/Cardiff.html,46,140,6.0~7.0
阿伯丁大学,一般工程 神学和宗教研究 医学 城镇和农村的规划和设计 化学工程 土木工程,https://www.51offer.com/school/Aberdeen.html,44,141,6.0~6.5
史塔福郡大学,航空和制造工程学 电气及电子工程 机械工程 考古学 哲学 酒店，休闲，娱乐和旅游,https://www.51offer.com/school/Staffordshire.html,92,,6
斯旺西大学,材料技术 凯尔特研究 社会工作 航空和制造工程学 化学工程 土木工程,https://www.51offer.com/school/Swansea.html,44,390,1212
斯特林大学,酒店，休闲，娱乐和旅游 体育科学 教育 社会工作 通信及传媒研究 伊比利亚语,https://www.51offer.com/school/Stirling.html,43,385,12300-17735英镑/学年
基尔大学,社会政策 物理治疗学 美国研究 考古学 教育 药物学和药剂,https://www.51offer.com/school/Keele.html,42,572,4.5~6.0
西英格兰大学,一般工程 影像学 艺术 农业与林业学 航空和制造工程学 建造学,https://www.51offer.com/school/UWE.html,60,,6.0~6.5
白金汉大学,商科 英语 法律,https://www.51offer.com/school/Buckingham.html,41,,6.0~6.5
朴茨茅斯大学,体育科学 影像学 美国研究 德语 意大利语 社会工作,https://www.51offer.com/school/Portsmouth.html,59,645,6.0~6.5
边山大学,教育 护理 生物科学 计算机科学 体育科学 英语,https://www.51offer.com/school/Edge-Hill.html,58,,11500-12500英镑/学年
布鲁内尔大学,人类学 物理治疗学 艺术 航空和制造工程学 机械工程 体育科学,https://www.51offer.com/school/Brunel.html,54,345,1928
亚伯大学,图书馆和信息管理 凯尔特研究 农业与林业学 地质学 会计和金融 经济学,https://www.51offer.com/school/Aberystwyth.html,56,494,6.0~7.0
诺丁汉特伦特大学,土地及物业管理 建造学 通信及传媒研究 意大利语 艺术 城镇和农村的规划和设计,https://www.51offer.com/school/NTU.html,57,773,4.5~6.5
创意艺术大学,建筑学 艺术 戏剧和舞蹈 通信及传媒研究,https://www.51offer.com/school/UCA.html,53,,11870-15140英镑/学年
金史密斯学院,艺术 人类学 通信及传媒研究 社会学 建筑与设计学 计算机科学,https://www.51offer.com/school/Goldsmiths.html,54,428,12460-17010英镑/学年
林肯大学,农业与林业学 酒店，休闲，娱乐和旅游 通信及传媒研究 社会政策 心理学 计算机科学,https://www.51offer.com/school/Lincoln.html,51,343,1861
法尔茅斯大学学院,艺术 通信及传媒研究 音乐 英语 戏剧和舞蹈,https://www.51offer.com/school/Falmouth.html,52,,12000-15500英镑/学年
英国皇家农学院,,https://www.51offer.com/school/Royal-Agricultural.html,63,,1845
赫尔大学,商科 会计和金融 一般工程 教育 经济学 航空和制造工程学,https://www.51offer.com/school/Hull.html,65,591,15150-25930英镑/学年
德蒙福特大学,一般工程 材料技术 护理 建筑学 机械工程 会计和金融,https://www.51offer.com/school/DMU.html,67,,11750-14000英镑/学年
伯恩茅斯大学,酒店，休闲，娱乐和旅游 一般工程 人类学 通信及传媒研究 物理治疗学 艺术,https://www.51offer.com/school/Bournemouth.html,62,,6.0~6.5
班戈大学,凯尔特研究 电气及电子工程 体育科学 语言学 音乐 神学和宗教研究,https://www.51offer.com/school/Bangor.html,61,414,6.0~7.0
伯恩茅斯艺术学院,酒店，休闲，娱乐和旅游 艺术 建筑学 戏剧和舞蹈,https://www.51offer.com/school/AUB.html,64,,6.0~6.5
伍斯特大学,体育科学 考古学 护理 教育 社会学 艺术,https://www.51offer.com/school/Worcester.html,90,,6.0~6.5
赫特福德大学,酒店，休闲，娱乐和旅游 医学和相关学 航空和制造工程学 体育科学 语言学 护理,https://www.51offer.com/school/Hertfordshire.html,91,886,6
诺森比亚大学,建造学 图书馆和信息管理 建筑学 城镇和农村的规划和设计 教育 护理,https://www.51offer.com/school/Northumbria.html,65,771,6.0~6.5
卡迪夫都市大学,酒店，休闲，娱乐和旅游 体育科学 戏剧和舞蹈 社会工作 建筑学 艺术,https://www.51offer.com/school/UWIC.html,89,,10200-13500英镑/学年
诺里奇艺术大学,,https://www.51offer.com/school/NUA.html,88,,1845
利物浦约翰摩尔大学,建造学 一般工程 机械工程 酒店，休闲，娱乐和旅游 体育科学 人类学,https://www.51offer.com/school/JMU.html,86,,4.5
罗伯特戈登大学,建造学 物理治疗学 影像学 营养学 电气及电子工程 会计和金融,https://www.51offer.com/school/RGU.html,86,797,6.0~6.5
德比大学,影像学 电气及电子工程 酒店，休闲，娱乐和旅游 体育科学 考古学 教育,https://www.51offer.com/school/Derby.html,83,,5.5~6.0
西伦敦大学,酒店，休闲，娱乐和旅游 护理 考古学 通信及传媒研究 音乐 社会工作,https://www.51offer.com/school/UWL.html,84,,10650英镑/学年
阿伯泰大学,法律 社会学 医学和相关学 艺术 生物科学 计算机科学,https://www.51offer.com/school/Abertay.html,85,,14150-20250英镑/学年
奇切斯特大学,酒店，休闲，娱乐和旅游 体育科学 通信及传媒研究 教育 神学和宗教研究 戏剧和舞蹈,https://www.51offer.com/school/Chichester.html,82,,10270-13700英镑/学年
哈德斯菲尔德大学,护理 材料技术 教育 社会工作 社会学 解剖与生理学,https://www.51offer.com/school/Huddersfield.html,77,887,6.0~6.5
普利茅斯大学,建造学 酒店，休闲，娱乐和旅游 社会政策 牙科 医学 物理治疗学,https://www.51offer.com/school/Plymouth.html,80,697,6.0~6.5
布拉德福德大学,商科 药物学和药剂 机械工程 经济学和计量经济学,https://www.51offer.com/school/Bradford.html,76,588,12100-22950英镑/学年
罗汉普顿大学,人类学 经典和古代历史 音乐 艺术 戏剧和舞蹈 神学和宗教研究,https://www.51offer.com/school/Roehampton.html,78,,6.0~7.0
谢菲尔德哈勒姆大学,酒店，休闲，娱乐和旅游 土地及物业管理 建造学 一般工程 社会政策 物理治疗学,https://www.51offer.com/school/Sheffield-Hallam.html,79,,6
巴斯泉大学,神学和宗教研究 商科 通信及传媒研究 教育 音乐 艺术,https://www.51offer.com/school/Bath-Spa.html,75,,5.0~6.5
温切斯特大学,酒店，休闲，娱乐和旅游 考古学 通信及传媒研究 教育 历史 神学和宗教研究,https://www.51offer.com/school/Winchester.html,72,,10900-12400英镑/学年
皇家威尔士音乐戏剧学院,,https://www.51offer.com/school/RWCMD.html,,,1949年
